iter	RMSE
0	0.3971130455
1	0.3860558848
2	0.3763900419
3	0.3668058027
4	0.3577806469
5	0.3487247859
6	0.3402588222
7	0.3320415945
8	0.3236713439
9	0.3157822201
10	0.3086653889
11	0.3020420521
12	0.2957281699
13	0.2890377817
14	0.2829591847
15	0.2766725667
16	0.2709066943
17	0.2651668853
18	0.2596814475
19	0.2551354877
20	0.2504863081
21	0.2460548688
22	0.2415300317
23	0.2372053801
24	0.2326002843
25	0.2281781222
26	0.2240735345
27	0.2206173655
28	0.2168383965
29	0.2134345646
30	0.2102737291
31	0.2071049352
32	0.2040383774
33	0.2011895497
34	0.1981794925
35	0.1953680782
36	0.1929596355
37	0.190520697
38	0.1878201792
39	0.1853655334
40	0.1829994062
41	0.1807982036
42	0.1785306863
43	0.176454705
44	0.1743253097
45	0.1720577642
46	0.1703491158
47	0.1685928127
48	0.166966028
49	0.1652396635
50	0.1633074814
51	0.1619519394
52	0.160393374
53	0.1588253364
54	0.1574613427
55	0.1562574981
56	0.1551105808
57	0.153802718
58	0.152624049
59	0.1514601807
60	0.1502794483
61	0.1490508117
62	0.1477551059
63	0.1467643696
64	0.1457522962
65	0.1447268593
66	0.1438170644
67	0.1429015815
68	0.1419184384
69	0.1410239891
70	0.1402422889
71	0.1394094824
72	0.1384003955
73	0.1376152886
74	0.1367797862
75	0.1359757266
76	0.135162931
77	0.1345495966
78	0.1338168577
79	0.1331604307
80	0.1324266301
81	0.1317220851
82	0.1309912731
83	0.1304421626
84	0.1297645215
85	0.1292506054
86	0.1285875672
87	0.1280139013
88	0.1274611484
89	0.1269877511
90	0.1264515205
91	0.1258230872
92	0.1250756917
93	0.1245759953
94	0.1241384924
95	0.1235208089
96	0.1229601248
97	0.1224804498
98	0.1219892259
99	0.1216243294
100	0.12106197
101	0.1206254975
102	0.1203143726
103	0.1198945883
104	0.1195092721
105	0.1189996352
106	0.1185051594
107	0.1181399649
108	0.1178145308
109	0.1174733852
110	0.1170626777
111	0.1167106186
112	0.1164573594
113	0.1160748296
114	0.1156455308
115	0.1153140931
116	0.1150337677
117	0.114684403
118	0.1142006738
119	0.1138377319
120	0.1135054841
121	0.1132332784
122	0.1128974605
123	0.1125665624
124	0.1122936632
125	0.1119432756
126	0.1116685593
127	0.1114312671
128	0.1111554041
129	0.1109063874
130	0.1105872499
131	0.1103425291
132	0.1101008796
133	0.109866007
134	0.1096141493
135	0.1093295676
136	0.1090194102
137	0.1087864672
138	0.1085983892
139	0.1082124584
140	0.1080418271
141	0.1077511804
142	0.1076562094
143	0.1073693041
144	0.1071801434
145	0.1069708977
146	0.1067201327
147	0.1063656324
148	0.1060705368
149	0.1058089374
150	0.1055382226
151	0.1052425066
152	0.1049369332
153	0.104725682
154	0.1045187895
155	0.1042150296
156	0.1040308406
157	0.1036739073
158	0.1034314246
159	0.1032119508
160	0.1030512137
161	0.1028410956
162	0.102669191
163	0.1024383979
164	0.1021950195
165	0.1020090523
166	0.1017474752
167	0.1015765936
168	0.1013835735
169	0.101346927
170	0.1010844838
171	0.1008313704
172	0.1005164427
173	0.1001914296
174	0.09994394294
175	0.09977620861
176	0.0994322958
177	0.09925861099
178	0.09889640696
179	0.09875169265
180	0.09852404854
181	0.09845033087
182	0.09816537812
183	0.09802468726
184	0.09782482014
185	0.09764678046
186	0.09751069306
187	0.09729269294
188	0.0970346037
189	0.09685208524
190	0.09667812688
191	0.09647914646
192	0.09627801578
193	0.09604233727
194	0.09576768445
195	0.09553544612
196	0.09536693285
197	0.0952406433
198	0.09507464195
199	0.09482645542
200	0.09458886556
201	0.09427529269
202	0.09400287786
203	0.09374032648
204	0.09360521546
205	0.09333816954
206	0.09317385278
207	0.09298384826
208	0.09292267108
209	0.09275263355
210	0.09269292916
211	0.0924537578
212	0.09236578724
213	0.09220647786
214	0.09201059148
215	0.09186758175
216	0.09166394765
217	0.09144096481
218	0.09130800722
219	0.09121351576
220	0.09100381112
221	0.09080923338
222	0.09057941463
223	0.09050320383
224	0.09023239071
225	0.09016807973
226	0.0900969754
227	0.08986555141
228	0.08964956645
229	0.08945532648
230	0.08924882274
231	0.08910888926
232	0.08895103193
233	0.08876445906
234	0.0885551825
235	0.08842986992
236	0.08828903555
237	0.0882154575
238	0.08810158153
239	0.08780210478
240	0.08765317094
241	0.08748303207
242	0.08728799799
243	0.08712214481
244	0.08690098111
245	0.08672552266
246	0.08657304078
247	0.08637416959
248	0.08619775984
249	0.0859661559
250	0.08587822011
251	0.08564594322
252	0.08557724445
253	0.08538471147
254	0.08516335154
255	0.0849496788
256	0.08477101952
257	0.08454470004
258	0.08439270777
259	0.08421999929
260	0.08408601867
261	0.08397117528
262	0.08379869539
263	0.08362700374
264	0.0833777774
265	0.08321156332
266	0.08313793023
267	0.08306007948
268	0.08276892907
269	0.08261297528
270	0.08236399731
271	0.08224581608
272	0.08205103956
273	0.08190761071
274	0.08168697964
275	0.08155849158
276	0.08141672005
277	0.08137934553
278	0.08120500538
279	0.08116725407
280	0.0809991532
