iter	Passed	Remaining
0	10	10411
1	14	7030
2	17	5912
3	21	5403
4	25	5058
5	29	4892
6	33	4710
7	37	4648
8	41	4564
9	45	4480
10	49	4429
11	53	4373
12	57	4333
13	60	4294
14	65	4281
15	69	4264
16	73	4234
17	77	4222
18	81	4198
19	85	4211
20	90	4212
21	94	4204
22	99	4210
23	102	4187
24	107	4178
25	111	4182
26	115	4172
27	119	4151
28	123	4139
29	128	4147
30	133	4161
31	138	4186
32	143	4200
33	147	4189
34	151	4170
35	154	4146
36	160	4175
37	164	4152
38	167	4130
39	171	4115
40	175	4101
41	179	4088
42	182	4072
43	186	4060
44	190	4043
45	194	4038
46	198	4032
47	202	4023
48	206	4013
49	210	3996
50	214	3982
51	217	3968
52	221	3958
53	225	3947
54	229	3937
55	232	3927
56	236	3915
57	240	3905
58	244	3897
59	248	3886
60	252	3883
61	256	3876
62	259	3864
63	263	3853
64	267	3847
65	271	3839
66	275	3832
67	279	3826
68	283	3818
69	287	3814
70	290	3805
71	294	3799
72	298	3793
73	302	3786
74	306	3778
75	310	3769
76	313	3761
77	317	3753
78	321	3748
79	325	3738
80	328	3732
81	332	3727
82	336	3717
83	340	3714
84	344	3706
85	348	3702
86	352	3695
87	355	3689
88	359	3682
89	363	3676
90	367	3670
91	371	3666
92	375	3660
93	379	3653
94	382	3647
95	386	3640
96	390	3635
97	394	3629
98	397	3621
99	401	3614
100	405	3606
101	409	3603
102	412	3595
103	416	3591
104	420	3585
105	424	3578
106	428	3575
107	432	3570
108	436	3566
109	440	3561
110	444	3556
111	448	3552
112	451	3546
113	455	3542
114	459	3537
115	463	3532
116	467	3526
117	470	3519
118	474	3512
119	478	3506
120	481	3500
121	485	3492
122	488	3486
123	492	3479
124	496	3473
125	499	3467
126	503	3461
127	507	3456
128	511	3450
129	515	3448
130	518	3442
131	522	3438
132	526	3431
133	530	3425
134	533	3418
135	537	3412
136	541	3408
137	544	3403
138	548	3395
139	551	3390
140	555	3384
141	559	3378
142	562	3372
143	566	3367
144	570	3362
145	573	3356
146	577	3352
147	581	3348
148	585	3342
149	588	3337
150	592	3331
151	596	3326
152	600	3321
153	604	3318
154	607	3312
155	611	3308
156	615	3305
157	619	3299
158	622	3294
159	626	3290
160	630	3287
161	634	3282
162	638	3277
163	641	3272
164	645	3269
165	649	3264
166	653	3260
167	657	3257
168	661	3253
169	665	3250
170	669	3246
171	673	3241
172	677	3236
173	680	3231
174	684	3226
175	688	3221
176	691	3217
177	695	3210
178	698	3205
179	702	3199
180	706	3195
181	709	3190
182	713	3185
183	717	3180
184	721	3177
185	724	3171
186	728	3165
187	732	3161
188	735	3155
189	739	3150
190	742	3145
191	746	3141
192	750	3139
193	754	3134
194	758	3130
195	762	3126
196	766	3122
197	769	3117
198	773	3113
199	776	3107
200	780	3103
201	784	3098
202	787	3092
203	791	3086
204	794	3081
205	798	3077
206	801	3071
207	805	3066
208	806	3054
209	810	3049
210	811	3035
211	815	3032
212	819	3029
213	823	3023
214	826	3018
215	830	3012
216	833	3008
217	837	3003
218	841	3000
219	844	2995
220	848	2990
221	851	2985
222	855	2981
223	859	2976
224	862	2971
225	865	2963
226	868	2958
227	872	2953
228	875	2948
229	879	2944
230	882	2939
231	886	2935
232	890	2930
233	893	2925
234	897	2920
235	900	2916
236	904	2911
237	907	2906
238	911	2902
239	915	2898
240	918	2893
241	922	2889
242	926	2885
243	929	2880
244	933	2876
245	936	2871
246	940	2867
247	943	2862
248	947	2857
249	951	2854
250	955	2849
251	958	2845
252	962	2841
253	965	2836
254	969	2832
255	973	2828
256	976	2823
257	980	2819
258	983	2813
259	987	2809
260	990	2804
261	994	2800
262	997	2795
263	1001	2791
264	1004	2786
265	1008	2782
266	1011	2778
267	1015	2773
268	1019	2769
269	1022	2765
270	1026	2761
271	1030	2757
272	1033	2753
273	1037	2748
274	1041	2744
275	1044	2740
276	1048	2736
277	1052	2732
278	1055	2728
279	1059	2724
280	1063	2720
281	1066	2716
282	1070	2713
283	1074	2709
284	1078	2704
285	1081	2701
286	1086	2698
287	1089	2694
288	1093	2689
289	1097	2685
290	1100	2682
291	1104	2677
292	1108	2674
293	1111	2669
294	1115	2666
295	1119	2661
296	1122	2657
297	1126	2652
298	1130	2649
299	1134	2646
300	1138	2642
301	1142	2639
302	1146	2636
303	1150	2633
304	1154	2629
305	1158	2626
306	1162	2623
307	1166	2620
308	1169	2616
309	1173	2612
310	1177	2609
311	1181	2606
312	1185	2602
313	1189	2599
314	1194	2596
315	1198	2593
316	1202	2590
317	1205	2585
318	1209	2581
319	1212	2577
320	1216	2573
321	1220	2569
322	1223	2565
323	1234	2575
324	1238	2572
325	1242	2567
326	1245	2562
327	1248	2558
328	1252	2554
329	1255	2549
330	1259	2545
331	1262	2541
332	1266	2536
333	1270	2532
334	1273	2528
335	1277	2524
336	1281	2520
337	1285	2516
338	1288	2512
339	1291	2507
340	1295	2504
341	1299	2499
342	1302	2495
343	1306	2490
344	1310	2487
345	1313	2483
346	1317	2479
347	1321	2475
348	1325	2471
349	1328	2467
350	1332	2463
351	1336	2459
352	1339	2455
353	1343	2451
354	1347	2447
355	1350	2443
356	1354	2438
357	1357	2434
358	1361	2430
359	1364	2426
360	1368	2421
361	1371	2417
362	1375	2412
363	1378	2409
364	1382	2404
365	1386	2400
366	1389	2396
367	1393	2392
368	1396	2388
369	1400	2384
370	1404	2381
371	1408	2377
372	1412	2373
373	1415	2369
374	1419	2365
375	1423	2361
376	1426	2357
377	1430	2354
378	1434	2350
379	1438	2346
380	1441	2342
381	1445	2338
382	1449	2334
383	1453	2331
384	1456	2327
385	1460	2323
386	1464	2319
387	1468	2315
388	1471	2311
389	1475	2307
390	1479	2303
391	1482	2299
392	1486	2295
393	1489	2291
394	1493	2288
395	1497	2283
396	1500	2279
397	1504	2276
398	1508	2272
399	1512	2268
400	1515	2264
401	1519	2260
402	1523	2256
403	1527	2253
404	1531	2249
405	1535	2246
406	1539	2242
407	1542	2238
408	1546	2234
409	1549	2230
410	1553	2226
411	1557	2223
412	1561	2219
413	1565	2215
414	1569	2212
415	1573	2208
416	1576	2204
417	1580	2200
418	1584	2196
419	1588	2193
420	1591	2189
421	1595	2185
422	1599	2181
423	1603	2177
424	1606	2173
425	1610	2169
426	1613	2165
427	1617	2161
428	1621	2158
429	1625	2154
430	1629	2150
431	1632	2146
432	1636	2142
433	1640	2139
434	1643	2135
435	1647	2131
436	1651	2127
437	1654	2123
438	1658	2119
439	1662	2115
440	1665	2111
441	1669	2107
442	1672	2103
443	1676	2099
444	1680	2096
445	1684	2092
446	1688	2089
447	1692	2085
448	1696	2081
449	1699	2077
450	1703	2073
451	1707	2070
452	1710	2065
453	1714	2061
454	1718	2057
455	1721	2053
456	1725	2049
457	1729	2046
458	1732	2042
459	1736	2038
460	1740	2034
461	1743	2030
462	1747	2026
463	1751	2023
464	1755	2019
465	1758	2015
466	1762	2011
467	1766	2007
468	1770	2004
469	1774	2000
470	1778	1996
471	1781	1993
472	1785	1989
473	1789	1986
474	1793	1982
475	1797	1978
476	1800	1974
477	1804	1970
478	1808	1966
479	1811	1962
480	1815	1959
481	1819	1955
482	1823	1951
483	1827	1947
484	1831	1944
485	1834	1940
486	1838	1936
487	1842	1932
488	1845	1928
489	1849	1924
490	1853	1921
491	1857	1917
492	1860	1913
493	1864	1909
494	1868	1905
495	1872	1902
496	1875	1898
497	1879	1894
498	1883	1890
499	1886	1886
500	1890	1883
501	1894	1879
502	1898	1875
503	1902	1872
504	1905	1868
505	1909	1864
506	1913	1860
507	1916	1856
508	1920	1852
509	1924	1848
510	1928	1845
511	1931	1841
512	1935	1837
513	1939	1833
514	1943	1830
515	1947	1826
516	1951	1822
517	1954	1818
518	1958	1815
519	1962	1811
520	1966	1807
521	1970	1804
522	1974	1800
523	1977	1796
524	1981	1792
525	1985	1788
526	1988	1785
527	1992	1781
528	1996	1777
529	1999	1773
530	2003	1769
531	2006	1765
532	2010	1761
533	2014	1757
534	2018	1754
535	2021	1750
536	2025	1746
537	2029	1742
538	2033	1738
539	2036	1735
540	2040	1731
541	2044	1727
542	2048	1723
543	2052	1720
544	2055	1716
545	2060	1712
546	2063	1709
547	2067	1705
548	2071	1701
549	2074	1697
550	2078	1693
551	2082	1689
552	2085	1686
553	2089	1682
554	2093	1678
555	2096	1674
556	2100	1670
557	2104	1666
558	2108	1663
559	2111	1659
560	2115	1655
561	2119	1652
562	2123	1647
563	2127	1644
564	2130	1640
565	2134	1636
566	2138	1632
567	2142	1629
568	2146	1625
569	2149	1621
570	2153	1617
571	2157	1613
572	2161	1610
573	2165	1606
574	2168	1602
575	2172	1599
576	2176	1595
577	2180	1591
578	2183	1587
579	2187	1583
580	2191	1580
581	2195	1576
582	2199	1573
583	2203	1569
584	2207	1566
585	2211	1562
586	2216	1559
587	2220	1555
588	2224	1552
589	2228	1548
590	2247	1555
591	2252	1552
592	2256	1548
593	2259	1544
594	2264	1541
595	2268	1537
596	2272	1534
597	2277	1530
598	2281	1527
599	2285	1523
600	2290	1520
601	2296	1518
602	2300	1514
603	2304	1511
604	2309	1507
605	2313	1504
606	2317	1500
607	2321	1497
608	2326	1493
609	2330	1490
610	2334	1486
611	2338	1482
612	2343	1479
613	2347	1475
614	2351	1472
615	2356	1468
616	2359	1464
617	2364	1461
618	2368	1457
619	2373	1454
620	2377	1451
621	2381	1447
622	2385	1443
623	2390	1440
624	2393	1436
625	2398	1432
626	2401	1428
627	2405	1425
628	2410	1421
629	2413	1417
630	2418	1414
631	2421	1410
632	2425	1406
633	2429	1402
634	2433	1398
635	2437	1395
636	2441	1391
637	2446	1388
638	2450	1384
639	2454	1380
640	2459	1377
641	2464	1374
642	2467	1370
643	2472	1366
644	2476	1362
645	2480	1359
646	2485	1355
647	2488	1352
648	2492	1348
649	2497	1344
650	2506	1343
651	2510	1339
652	2514	1336
653	2518	1332
654	2522	1328
655	2526	1325
656	2531	1321
657	2534	1317
658	2538	1313
659	2541	1309
660	2545	1305
661	2549	1301
662	2553	1297
663	2556	1293
664	2560	1289
665	2564	1286
666	2568	1282
667	2574	1279
668	2579	1276
669	2583	1272
670	2587	1268
671	2592	1265
672	2596	1261
673	2601	1258
674	2606	1254
675	2610	1250
676	2614	1247
677	2619	1244
678	2623	1240
679	2627	1236
680	2640	1236
681	2645	1233
682	2649	1229
683	2653	1226
684	2657	1222
685	2662	1218
686	2666	1214
687	2670	1210
688	2674	1207
689	2678	1203
690	2682	1199
691	2687	1196
692	2691	1192
693	2695	1188
694	2700	1185
695	2704	1181
696	2709	1177
697	2713	1174
698	2717	1170
699	2721	1166
700	2725	1162
701	2729	1158
702	2734	1155
703	2738	1151
704	2742	1147
705	2746	1143
706	2750	1140
707	2755	1136
708	2760	1133
709	2764	1129
710	2769	1125
711	2774	1122
712	2778	1118
713	2782	1114
714	2787	1111
715	2791	1107
716	2795	1103
717	2800	1100
718	2805	1096
719	2810	1092
720	2815	1089
721	2820	1086
722	2825	1082
723	2830	1079
724	2835	1075
725	2839	1071
726	2844	1068
727	2849	1064
728	2853	1060
729	2858	1057
730	2863	1053
731	2867	1049
732	2871	1046
733	2876	1042
734	2880	1038
735	2885	1034
736	2890	1031
737	2894	1027
738	2898	1023
739	2903	1020
740	2908	1016
741	2912	1012
742	2916	1008
743	2921	1005
744	2924	1001
745	2928	997
746	2932	993
747	2936	989
748	2940	985
749	2944	981
750	2948	977
